param_classifier__C,param_classifier__class_weight,mean_train_score,mean_test_score,std_test_score,rank_test_score
0.1,,0.813677871221971,0.789055348477852,0.029064923601206775,1
0.01,balanced,0.782602871037043,0.7822190348786257,0.03119738056473743,2
100.0,,0.8198803577312699,0.7818116348135029,0.012152958526216902,3
1.0,balanced,0.7998568050675369,0.7807158530080293,0.02978565404606976,4
10.0,,0.8221964899621206,0.7798076700812099,0.01036698046348233,5
1.0,,0.8180170807655337,0.7791269898393478,0.027290407609056665,6
0.1,balanced,0.7973502972198189,0.7790495491945254,0.029120892762698577,7
10.0,balanced,0.8006314800779674,0.7784016888307482,0.02941651956682637,8
100.0,balanced,0.8001438112669994,0.7759654152258603,0.029206229453924218,9
0.01,,0.7495657296799714,0.7400099081540169,0.020348669721977145,10
